year,value,State,value2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2192.657486,UP,3986.649974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,4594.614066,UP,4114.57976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4739.610529,UP,4244.427339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4886.748528,UP,4376.192712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5029.185884,UP,4503.748553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5173.604225,UP,4633.07841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5320.003549,UP,4764.182282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5468.383857,UP,4897.06017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5618.745149,UP,5031.712073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5771.087424,UP,5168.137992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5925.410684,UP,5306.337926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6081.714927,UP,5446.311875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6240.000155,UP,5588.05984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6400.266366,UP,5731.58182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1798.183627,Maharashtra,3269.424777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3717.743204,Maharashtra,3329.322273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3785.179851,Maharashtra,3389.7133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3853.167609,Maharashtra,3450.597859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3918.156143,Maharashtra,3508.796546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3983.651884,Maharashtra,3567.449448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4049.654831,Maharashtra,3626.556565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4116.164985,Maharashtra,3686.117897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4183.182346,Maharashtra,3746.133444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4250.706913,Maharashtra,3806.603206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4318.738687,Maharashtra,3867.527182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4387.277668,Maharashtra,3928.905374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4456.323855,Maharashtra,3990.73778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4525.877249,Maharashtra,4053.024402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1010.250893,West Bengal,1836.819806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2088.064789,West Bengal,1869.908766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2125.343896,West Bengal,1903.293041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2162.952772,West Bengal,1936.972631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2199.229628,West Bengal,1969.459368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2235.807903,West Bengal,2002.216032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2272.687596,West Bengal,2035.242623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2309.868707,West Bengal,2068.539141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2347.351237,West Bengal,2102.105585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2385.135185,West Bengal,2135.941957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2423.220552,West Bengal,2170.048256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2461.607337,West Bengal,2204.424481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2500.295541,West Bengal,2239.070634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2539.285163,West Bengal,2273.986713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,690.1333946,Andhra Pradesh ,1254.78799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1425.869176,Andhra Pradesh ,1276.89777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1450.773781,Andhra Pradesh ,1299.200401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
